record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
B2E0001,Person,P000063,name,古野 拓巳,B2S0001,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0002,Person,P000063,name_en,Takumi Furuno,B2S0001,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0003,Person,P000063,birth_date,1993-02-20,B2S0001,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0004,Career,C000211,organization_id,ORG000091,B2S0001,クラブ所属履歴 > 最新掲載,愛媛オレンジバイキングスを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0005,Career,C000211,role,Player,B2S0001,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0006,Career,C000210,organization_id,ORG000010,B2S0000,出身高校フィルターと選手カード,福岡第一高等学校の絞り込み結果に掲載,PARTIAL,2026-09-19,選手詳細または高校・大会公式資料で再確認する
B2E0007,Career,C000210,role,Player,B2S0000,福岡第一高等学校の選手一覧,B.LEAGUE選手として公式一覧に掲載,PARTIAL,2026-09-19,高校時の選手登録を別資料で再確認する
B2E0008,Person,P000038,name,内尾 聡理,B2S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0009,Person,P000038,name_en,Sori Uchio,B2S0002,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0010,Person,P000038,birth_date,2001-04-12,B2S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0011,Career,C000107,organization_id,ORG000048,B2S0002,クラブ所属履歴 > 最新掲載,佐賀バルーナーズを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0012,Career,C000107,role,Player,B2S0002,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0013,Career,C000057,organization_id,ORG000010,B2S0000,出身高校フィルターと選手カード,福岡第一高等学校の絞り込み結果に掲載,PARTIAL,2026-09-19,選手詳細または高校・大会公式資料で再確認する
B2E0014,Career,C000057,role,Player,B2S0000,福岡第一高等学校の選手一覧,B.LEAGUE選手として公式一覧に掲載,PARTIAL,2026-09-19,高校時の選手登録を別資料で再確認する
B2E0015,Person,P000037,name,鵤 誠司,B2S0003,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0016,Person,P000037,name_en,Seiji Ikaruga,B2S0003,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0017,Person,P000037,birth_date,1994-01-08,B2S0003,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0018,Career,C000103,organization_id,ORG000047,B2S0003,クラブ所属履歴 > 最新掲載,宇都宮ブレックスを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0019,Career,C000103,role,Player,B2S0003,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0020,Career,C000056,organization_id,ORG000010,B2S0000,出身高校フィルターと選手カード,福岡第一高等学校の絞り込み結果に掲載,PARTIAL,2026-09-19,選手詳細または高校・大会公式資料で再確認する
B2E0021,Career,C000056,role,Player,B2S0000,福岡第一高等学校の選手一覧,B.LEAGUE選手として公式一覧に掲載,PARTIAL,2026-09-19,高校時の選手登録を別資料で再確認する
B2E0022,Person,P000041,name,狩野 祐介,B2S0004,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0023,Person,P000041,name_en,Yusuke Karino,B2S0004,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0024,Person,P000041,birth_date,1990-04-18,B2S0004,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
