queue_id,issue_id,person_id,person_name,career_id,organization,category,queue_state,confirmed_scope,held_scope,next_action,resume_condition
B2Q0001,B2I0001,P000063,古野 拓巳,C000210,福岡第一高等学校,HIGH_SCHOOL_PERIOD_AND_ROLE,DEFERRED_UNTIL_NEW_SOURCE,organization_id,role|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0002,B2I0003,P000038,内尾 聡理,C000057,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|jersey_number|height_cm|activity_date,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0003,B2I0005,P000037,鵤 誠司,C000056,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|grade,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0004,B2I0007,P000041,狩野 祐介,C000060,福岡第一高等学校,HIGH_SCHOOL_PERIOD_AND_ROLE,DEFERRED_UNTIL_NEW_SOURCE,organization_id,role|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0005,B2I0009,P000042,並里 成,C000061,福岡第一高等学校,HIGH_SCHOOL_PERIOD_AND_ROLE,DEFERRED_UNTIL_NEW_SOURCE,organization_id,role|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0006,B2I0011,P000039,渡辺 竜之佑,C000058,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|grade|position|height_cm,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0007,B2I0013,P000043,松崎 裕樹,C000062,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|grade|position|height_cm,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0008,B2I0015,P000035,小川 麻斗,C000054,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|jersey_number|height_cm,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0009,B2I0017,P000040,神田 壮一郎,C000059,福岡第一高等学校,HIGH_SCHOOL_PERIOD,DEFERRED_UNTIL_NEW_SOURCE,organization_id|role|jersey_number|height_cm,start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
B2Q0010,B2I0019,P000036,井手 拓実,C000055,福岡第一高等学校,HIGH_SCHOOL_PERIOD_AND_ROLE,DEFERRED_UNTIL_NEW_SOURCE,organization_id,role|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認,学校・JBA・大会主催者の新しい公式資料が見つかり、在籍期間または役割が本文で直接確認できる場合
