issue_id,person_id,related_id,issue_type,status,description,next_check
B2I0001,P000063,C000210,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id。未確認項目はrole|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0002,P000063,P000063,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は日本経済大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0003,P000038,C000057,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|jersey_number|height_cm|activity_date。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0004,P000038,P000038,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は中央大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0005,P000037,C000056,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|grade。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0006,P000037,P000037,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は青山学院大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0007,P000041,C000060,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id。未確認項目はrole|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0008,P000041,P000041,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は東海大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0009,P000042,C000061,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id。未確認項目はrole|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0010,P000042,P000042,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は福岡第一高校だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
