decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
B3D0001,Person,P000028,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0002,Person,P000029,READY_FOR_VERIFIED_REVIEW,name|birth_date,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0003,Person,P000030,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0004,Person,P000031,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0005,Person,P000032,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0006,Person,P000033,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0007,Person,P000034,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0008,Person,P000010,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0009,Person,P000014,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0010,Person,P000016,READY_FOR_VERIFIED_REVIEW,name,,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0011,Career,C000046,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date|competition_participation|height_cm,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0012,Career,C000213,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0013,Career,C000047,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date|competition_participation|height_cm,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0014,Career,C000214,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0015,Career,C000048,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date|grade|position|height_cm,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0016,Career,C000049,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date|competition_participation|height_cm,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0017,Career,C000215,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0018,Career,C000050,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0019,Career,C000216,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0020,Career,C000051,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0021,Career,C000217,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0022,Career,C000052,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|activity_date|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0023,Career,C000218,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0024,Career,C000010,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|height_cm|activity_date,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0025,Career,C000031,READY_FOR_VERIFIED_REVIEW,organization_id|role|position|height_cm|activity_year|jersey_number|grade|competition_participation,start|end|grade,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0026,Career,C000014,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|height_cm|activity_date,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0027,Career,C000030,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|competition_participation,start|end,公式資料で項目単位の裏付けを確認,2026-09-20
B3D0028,Career,C000033,READY_FOR_VERIFIED_REVIEW,organization_id|role|activity_year,start|end|Player role,公式資料で項目単位の裏付けを確認,2026-09-20
