wave,issue_id,person_id,related_id,issue_type,status,description,next_check
wave_01,B4W1I0001,P000064,C000219,PERIOD_UNKNOWN,HOLD,福岡第一高校Careerの開始・終了年月は未確認,学校または大会の複数年度公式資料を確認
wave_01,B4W1I0002,P000064,C000220,PERIOD_UNKNOWN,HOLD,東海大学Careerの開始・終了年月は未確認,大学または競技団体の年度別公式資料を確認
wave_01,B4W1I0003,P000064,P000064,CURRENT_AFFILIATION_CONFLICT,HOLD,Clippers選手ページとNBA G Leagueページの所属表示に更新時点の違いがある,契約発表・現行ロスター・公式取引記録を同一基準日で確認
wave_01,B4W1I0004,P000064,C000223,NBA_CAREER_PERIOD,HOLD,MemphisとのTwo-Way契約発表後の終了時期と公式戦実績はこの資料だけでは確定しない,NBA公式選手ログと取引記録を確認
wave_01,B4W1I0005,P000065,C000224,PERIOD_UNKNOWN,HOLD,福岡第一高校Careerの開始・終了年月は未確認,高校の年度別大会公式ロスターを確認
wave_01,B4W1I0006,P000065,C000225,ACADEMIC_AND_CLUB_STATUS,HOLD,日本経済大学の学籍継続と男子部退部は別状態。入学日・退部日・学籍終了日は未確認,大学公式の学籍・退部日を直接示す資料がある場合のみ更新
wave_01,B4W1I0007,P000065,C000226,SPECIFIC_GAME_UNVERIFIED,HOLD,2025年10月5日の試合ページで本人の個別欄を再取得できない,B.LEAGUE公式の個人ゲームログまたは取得可能なボックススコアを確認
wave_01,B4W1I0008,P000065,ORG000017,ORGANIZATION_ID_DUPLICATE,HOLD,既存バッチで日本経済大学にORG000017とORG000019が混在する,Master前に組織IDの正規化方針を決める
wave_02,B4W2I0001,P000066,C000227,PERIOD_UNKNOWN,HOLD,福岡第一高校Careerの開始・終了年月は未確認,年度別公式ロスターを確認
wave_02,B4W2I0002,P000066,C000228,PERIOD_UNKNOWN,HOLD,大阪学院大学Careerの開始・終了年月は未確認,大学または競技団体の年度別公式資料を確認
wave_02,B4W2I0003,P000066,P000066,HEIGHT_VARIATION,HOLD,資料時点により180cm・181cm・183cmの登録値がある,値を上書き統合せずSource別・時点別で保持
wave_02,B4W2I0004,P000066,C000229,ACTIVITY_END_DATE,HOLD,活動終了の発表日は確認したが実際の終了日は日付特定できない,クラブまたはリーグの登録抹消日を確認
wave_02,B4W2I0005,P000067,P000067,EXCEL_MEMO_MISMATCH,HOLD,提案文書はExcel原本内の同名候補ありとするが、原本Personシートに長岡大杜は存在しない,提案文書の根拠となった別版または別ファイルを確認
