wave,decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
wave_01,B4W1D0001,Person,P000064,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,current_affiliation,公式資料で人物基本項目を確認。現在所属は表示矛盾のため保留,2026-09-20
wave_01,B4W1D0002,Person,P000065,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,JUBF公式資料で人物基本項目を確認,2026-09-20
wave_01,B4W1D0003,Organization,ORG000010,READY_FOR_VERIFIED_REVIEW,name,,公式資料の組織表記を確認,2026-09-20
wave_01,B4W1D0004,Organization,ORG000015,READY_FOR_VERIFIED_REVIEW,name,,公式資料の組織表記を確認,2026-09-20
wave_01,B4W1D0005,Organization,ORG000055,READY_FOR_VERIFIED_REVIEW,name,,B.LEAGUE公式プロフィールで組織表記を確認,2026-09-20
wave_01,B4W1D0006,Organization,ORG000017,READY_FOR_VERIFIED_REVIEW,name,organization_id normalization,JUBF公式資料で組織名を確認。既存ID重複は別途保留,2026-09-20
wave_01,B4W1D0007,Organization,ORG000097,READY_FOR_VERIFIED_REVIEW,name,,クラブ公式とB.LEAGUE公式で組織名を確認,2026-09-20
wave_01,B4W1D0008,Organization,ORG000098,READY_FOR_VERIFIED_REVIEW,name,,NBAクラブ公式発表で組織名を確認,2026-09-20
wave_01,B4W1D0009,Career,C000219,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|activity_date,start|end,JBA公式資料で福岡第一高校所属を確認,2026-09-20
wave_01,B4W1D0010,Career,C000220,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|activity_date,start|end,JBA公式資料で東海大学所属を確認,2026-09-20
wave_01,B4W1D0011,Career,C000221,READY_FOR_VERIFIED_REVIEW,organization_id|role|season,start|end,B.LEAGUE公式プロフィールで所属シーズンを確認,2026-09-20
wave_01,B4W1D0012,Career,C000222,READY_FOR_VERIFIED_REVIEW,organization_id|role|seasons|competition_participation,start|end,B.LEAGUE公式プロフィールで所属履歴と出場を確認,2026-09-20
wave_01,B4W1D0013,Career,C000223,READY_FOR_VERIFIED_REVIEW,organization_id|role|contract_type|contract_announcement_date,end|official_game_appearance,Memphis公式発表でTwo-Way契約を確認,2026-09-20
wave_01,B4W1D0014,Career,C000224,READY_FOR_VERIFIED_REVIEW,organization_id|role|activity_year,start|end,クラブ公式プロフィールで福岡第一とWC2023優勝を確認,2026-09-20
wave_01,B4W1D0015,Career,C000225,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|activity_year|jersey_number|basketball_club_status|status_announcement_date,start|end|academic_end,JUBFとクラブ公式で大学登録と男子部退部発表を確認,2026-09-20
wave_01,B4W1D0016,Career,C000226,READY_FOR_VERIFIED_REVIEW,organization_id|role|contract_season|contract_announcement_date|jersey_number|position|competition_participation|contract_term,end|specific_game_appearance,クラブ公式とB.LEAGUE公式で契約とシーズン出場を確認,2026-09-20
wave_02,B4W2D0001,Person,P000066,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,height_cm,B.LEAGUE公式で基本項目を確認。身長は資料差のため保留,2026-09-20
wave_02,B4W2D0002,Person,P000067,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date|height_cm|weight_kg|birthplace_prefecture,nationality,B.LEAGUE公式で基本項目を確認。国籍は採用しない,2026-09-20
wave_02,B4W2D0003,Organization,ORG000010,READY_FOR_VERIFIED_REVIEW,name,,B3公式で組織名を確認,2026-09-20
wave_02,B4W2D0004,Organization,ORG000090,READY_FOR_VERIFIED_REVIEW,name,,クラブ公式で組織名を確認,2026-09-20
wave_02,B4W2D0005,Organization,ORG000099,READY_FOR_VERIFIED_REVIEW,name,,JUBF公式で組織名を確認,2026-09-20
wave_02,B4W2D0006,Organization,ORG000100,READY_FOR_VERIFIED_REVIEW,name,,B3公式で組織名を確認,2026-09-20
wave_02,B4W2D0007,Career,C000227,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,クラブ公式プロフィールで福岡第一高校の経歴を確認,2026-09-20
wave_02,B4W2D0008,Career,C000228,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm|competition_participation,start|end,JUBF公式で大学登録と出場を確認,2026-09-20
wave_02,B4W2D0009,Career,C000229,READY_FOR_VERIFIED_REVIEW,organization_id|role|registration_type|bench_eligible_from|activity_end_announcement|competition_participation,exact_end_date,クラブ公式とB.LEAGUE公式で登録・活動終了発表・出場を確認,2026-09-20
wave_02,B4W2D0010,Career,C000230,READY_FOR_VERIFIED_REVIEW,organization_id|role|academic_status,start|end,B3公式で福岡第一高校在学中を確認,2026-09-20
wave_02,B4W2D0011,Career,C000231,READY_FOR_VERIFIED_REVIEW,organization_id|role|league_entry_announcement|jersey_number|position|competition_participation,exact_start|end,B3・B.LEAGUE公式で登録と出場を確認,2026-09-20
wave_03,B4W3D0001,Person,P000068,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date|height_cm|weight_kg,,B.LEAGUE公式で確認,2026-09-20
wave_03,B4W3D0002,Person,P000069,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date|height_cm|weight_kg,,B.LEAGUE公式で確認,2026-09-20
wave_03,B4W3D0003,Person,P000014,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,既存VERIFIEDとB.LEAGUE公式を再確認,2026-09-20
wave_03,B4W3D0004,Person,P000070,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date|birthplace_country|nationality,,B.LEAGUE・クラブ公式で確認,2026-09-20
wave_03,B4W3D0005,Career,C000232,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,出身高校のみ確認,2026-09-20
wave_03,B4W3D0006,Career,C000233,READY_FOR_VERIFIED_REVIEW,organization_id|role|entry_year,end,専修大学公式入部資料,2026-09-20
wave_03,B4W3D0007,Career,C000234,READY_FOR_VERIFIED_REVIEW,organization_id|role|seasons|competition_participation,exact_start|exact_end,B.LEAGUE公式,2026-09-20
wave_03,B4W3D0008,Career,C000235,READY_FOR_VERIFIED_REVIEW,organization_id|role,2024-25|2025-26|exact_start|end,B.LEAGUE公式の2026-27表示,2026-09-20
wave_03,B4W3D0009,Career,C000236,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,出身高校のみ確認,2026-09-20
wave_03,B4W3D0010,Career,C000237,READY_FOR_VERIFIED_REVIEW,organization_id|role|entry_year,end,専修大学公式入部資料,2026-09-20
wave_03,B4W3D0011,Career,C000238,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_start|exact_end,山口公式プレイ歴,2026-09-20
wave_03,B4W3D0012,Career,C000239,READY_FOR_VERIFIED_REVIEW,organization_id|role|contract_season,transfer_date|end,山口公式契約発表,2026-09-20
wave_03,B4W3D0013,Career,C000240,READY_FOR_VERIFIED_REVIEW,organization_id|role|competition_participation,exact_start|exact_end,B.LEAGUE・横浜EX公式,2026-09-20
wave_03,B4W3D0014,Career,C000241,READY_FOR_VERIFIED_REVIEW,organization_id|role|contract_season|competition_participation|contract_end_notice,exact_start|exact_end,横浜EX・B.LEAGUE公式,2026-09-20
wave_03,B4W3D0015,Career,C000242,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,熊本公式経歴,2026-09-20
wave_03,B4W3D0016,Career,C000243,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,熊本公式経歴,2026-09-20
wave_03,B4W3D0017,Career,C000244,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0018,Career,C000245,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0019,Career,C000246,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0020,Career,C000247,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0021,Career,C000248,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0022,Career,C000249,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0023,Career,C000250,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0024,Career,C000251,READY_FOR_VERIFIED_REVIEW,organization_id|role,exact_dates,熊本公式経歴,2026-09-20
wave_03,B4W3D0025,Career,C000252,READY_FOR_VERIFIED_REVIEW,organization_id|role,end,熊本公式加入発表,2026-09-20
wave_03,B4W3D0026,Organization,ORG000010,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0027,Organization,ORG000015,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0028,Organization,ORG000018,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0029,Organization,ORG000040,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0030,Organization,ORG000050,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0031,Organization,ORG000052,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0032,Organization,ORG000054,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0033,Organization,ORG000067,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0034,Organization,ORG000090,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0035,Organization,ORG000100,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0036,Organization,ORG000101,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0037,Organization,ORG000102,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0038,Organization,ORG000103,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_03,B4W3D0039,Organization,ORG000104,READY_FOR_VERIFIED_REVIEW,name,,公式資料内表記を確認,2026-09-20
wave_04,B4W4D0001,Person,P000071,READY_FOR_VERIFIED_REVIEW,name|birth_date|position|height_cm|weight_kg|draft_candidate_listing,professional_contract|league_registration|professional_appearance,B.LEAGUE候補選手一覧で確認,2026-09-21
wave_04,B4W4D0002,Person,P000072,READY_FOR_VERIFIED_REVIEW,name|birth_date|position|height_cm|weight_kg|draft_candidate_listing,professional_contract|league_registration|professional_appearance,B.LEAGUE候補選手一覧で確認,2026-09-21
wave_04,B4W4D0003,Career,C000253,READY_FOR_VERIFIED_REVIEW,organization_id|start|end,role,B.LEAGUE候補者経歴で期間を確認,2026-09-21
wave_04,B4W4D0004,Career,C000254,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|competition_participation,end,B.LEAGUEとJUBF公式で確認,2026-09-21
wave_04,B4W4D0005,Career,C000255,READY_FOR_VERIFIED_REVIEW,organization_id|start|end,role,B.LEAGUE候補者経歴で期間を確認,2026-09-21
wave_04,B4W4D0006,Career,C000256,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|competition_participation,end,B.LEAGUEとJUBF公式で確認,2026-09-21
wave_04,B4W4D0007,Organization,ORG000010,READY_FOR_VERIFIED_REVIEW,name,,B.LEAGUE公式資料内表記を確認,2026-09-21
wave_04,B4W4D0008,Organization,ORG000017,READY_FOR_VERIFIED_REVIEW,name,organization_id normalization,JUBF公式資料内表記を確認,2026-09-21
wave_04,B4W4D0009,Organization,ORG000105,READY_FOR_VERIFIED_REVIEW,name,,JUBF公式資料内表記を確認,2026-09-21
