career_id,person_id,organization_id,role,start,end
C000232,P000068,ORG000010,Player,,
C000233,P000068,ORG000018,Player,2017,
C000234,P000068,ORG000040,Player,2021,2024
C000235,P000068,ORG000050,Player,2026,
C000236,P000069,ORG000010,Player,,
C000237,P000069,ORG000018,Player,2017,
C000238,P000069,ORG000040,Player,2021,2023
C000239,P000069,ORG000100,Player,2022,2026
C000240,P000014,ORG000101,Player,2021,2021
C000241,P000014,ORG000090,Player,2024,2025
C000242,P000070,ORG000010,Player,,
C000243,P000070,ORG000015,Player,,
C000244,P000070,ORG000104,Player,2011,2013
C000245,P000070,ORG000054,Player,2013,2014
C000246,P000070,ORG000067,Player,2014,2016
C000247,P000070,ORG000052,Player,2016,2018
C000248,P000070,ORG000040,Player,2018,2019
C000249,P000070,ORG000102,Player,2019,2020
C000250,P000070,ORG000103,Player,2020,2022
C000251,P000070,ORG000103,Head Coach,2022,2025
C000252,P000070,ORG000067,Assistant Coach,2025,
