decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
B10W1D0001,Person,P000134,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0002,Career,C000457,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0003,Career,C000458,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0004,Career,C000459,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
B10W1D0005,Person,P000135,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0006,Career,C000460,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0007,Career,C000461,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0008,Career,C000462,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認（栃木ブレックス改称前からの継続在籍として登録）、現在進行中の契約のため終了日は未定,2026-09-24
B10W1D0009,Person,P000136,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0010,Career,C000463,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0011,Career,C000464,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0012,Career,C000465,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,バスケットカウント記事・B.LEAGUE公式クラブ所属履歴で確認、現在進行中の契約のため終了日は未定,2026-09-24
B10W1D0013,Person,P000137,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0014,Career,C000466,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0015,Career,C000467,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0016,Career,C000468,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定。前所属「名古屋D」との非同一性はissueに記録,2026-09-24
B10W1D0017,Person,P000138,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0018,Career,C000469,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0019,Career,C000470,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0020,Career,C000471,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
B10W1D0021,Person,P000139,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B10W1D0022,Career,C000472,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認、在籍期間は未確認,2026-09-24
B10W1D0023,Career,C000473,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧の選手カードで確認、在籍期間は未確認,2026-09-24
B10W1D0024,Career,C000474,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
