relationship_candidate_id,relationship_key,person_id_a,name_a,person_id_b,name_b,organization_id,period_key,period_label,relationship_type,membership_id_a,membership_id_b,source_id,assessment
TRC0001,ORG000010|competition:wc2018|P000010|P000035,P000010,當山 修梧,P000035,小川 麻斗,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0001,TRM0005,TRS0001,CANDIDATE
TRC0002,ORG000010|competition:wc2018|P000010|P000038,P000010,當山 修梧,P000038,内尾 聡理,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0001,TRM0006,TRS0001,CANDIDATE
TRC0003,ORG000010|competition:wc2018|P000010|P000040,P000010,當山 修梧,P000040,神田 壮一郎,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0001,TRM0003,TRS0001,CANDIDATE
TRC0004,ORG000010|competition:wc2018|P000010|P000043,P000010,當山 修梧,P000043,松崎 裕樹,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0001,TRM0004,TRS0001,CANDIDATE
TRC0005,ORG000010|competition:wc2018|P000010|P000064,P000010,當山 修梧,P000064,河村 勇輝,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0001,TRM0002,TRS0001,CANDIDATE
TRC0006,ORG000010|competition:wc2018|P000035|P000038,P000035,小川 麻斗,P000038,内尾 聡理,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0005,TRM0006,TRS0001,CANDIDATE
TRC0007,ORG000010|competition:wc2018|P000035|P000040,P000035,小川 麻斗,P000040,神田 壮一郎,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0005,TRM0003,TRS0001,CANDIDATE
TRC0008,ORG000010|competition:wc2018|P000035|P000043,P000035,小川 麻斗,P000043,松崎 裕樹,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0005,TRM0004,TRS0001,CANDIDATE
TRC0009,ORG000010|competition:wc2018|P000035|P000064,P000035,小川 麻斗,P000064,河村 勇輝,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0005,TRM0002,TRS0001,CANDIDATE
TRC0010,ORG000010|competition:wc2018|P000038|P000040,P000038,内尾 聡理,P000040,神田 壮一郎,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0006,TRM0003,TRS0001,CANDIDATE
TRC0011,ORG000010|competition:wc2018|P000038|P000043,P000038,内尾 聡理,P000043,松崎 裕樹,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0006,TRM0004,TRS0001,CANDIDATE
TRC0012,ORG000010|competition:wc2018|P000038|P000064,P000038,内尾 聡理,P000064,河村 勇輝,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0006,TRM0002,TRS0001,CANDIDATE
TRC0013,ORG000010|competition:wc2018|P000040|P000043,P000040,神田 壮一郎,P000043,松崎 裕樹,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0003,TRM0004,TRS0001,CANDIDATE
TRC0014,ORG000010|competition:wc2018|P000040|P000064,P000040,神田 壮一郎,P000064,河村 勇輝,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0003,TRM0002,TRS0001,CANDIDATE
TRC0015,ORG000010|competition:wc2018|P000043|P000064,P000043,松崎 裕樹,P000064,河村 勇輝,ORG000010,competition:wc2018,ウインターカップ2018大会時点,same_organization_same_roster_period,TRM0004,TRM0002,TRS0001,CANDIDATE
