record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
B10W1E0001,Person,P000134,name,星川 開聖,B10W1S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0002,Person,P000134,birth_date,2004-11-19,B10W1S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0003,Career,C000457,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0004,Career,C000458,organization_id,ORG000166,B10W1S0001,選手カード > 出身校：筑波大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0005,Career,C000459,organization_id,ORG000047,B10W1S0002,クラブ経歴 > 「2024-25：宇都宮」が初出（唯一の記載）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B10W1E0006,Career,C000459,start,2024,B10W1S0002,クラブ経歴 > 「2024-25：宇都宮」が初出,B.LEAGUE公式のクラブ所属履歴で2024-25シーズンからの加入（B.LEAGUEデビュー）を確認,SUPPORTED,2026-09-24,
B10W1E0007,Person,P000135,name,竹内 公輔,B10W1S0003,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0008,Person,P000135,birth_date,1985-01-29,B10W1S0003,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0009,Career,C000460,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0010,Career,C000461,organization_id,ORG000185,B10W1S0001,選手カード > 出身校：慶應義塾大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0011,Career,C000462,organization_id,ORG000047,B10W1S0003,クラブ経歴 > 「2016-17〜2018-19：栃木」「2019-20以降：宇都宮」,B.LEAGUE公式のクラブ所属履歴を確認,SUPPORTED,2026-09-24,栃木ブレックスは2019年7月に宇都宮ブレックスへ改称（バスケットボールキングで確認）した同一クラブのため、Organizationは既存の宇都宮ブレックス（ORG000047）を再利用し、改称前からの継続在籍として扱った。詳細はissue B10W1I0006を参照
B10W1E0012,Career,C000462,start,2016,B10W1S0003,クラブ経歴 > 「2016-17：栃木」が初出,B.LEAGUE公式のクラブ所属履歴で2016-17シーズンからの加入（改称前の栃木ブレックス在籍時から）を確認,SUPPORTED,2026-09-24,
B10W1E0013,Person,P000136,name,荒川 颯,B10W1S0004,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0014,Person,P000136,birth_date,1997-07-25,B10W1S0004,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0015,Career,C000463,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0016,Career,C000464,organization_id,ORG000031,B10W1S0001,選手カード > 出身校：拓殖大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0017,Career,C000465,organization_id,ORG000047,B10W1S0008,本文 > 「宇都宮ブレックスが琉球を退団した荒川颯を獲得」,バスケットカウント記事で宇都宮ブレックスとの契約（2026-27シーズン）を確認,SUPPORTED,2026-09-24,
B10W1E0018,Career,C000465,start,2026,B10W1S0004,クラブ経歴 > 「2026-27：宇都宮」が初出,B.LEAGUE公式のクラブ所属履歴で2026-27シーズンからの加入を確認,SUPPORTED,2026-09-24,
B10W1E0019,Person,P000137,name,笹山 貴哉,B10W1S0005,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0020,Person,P000137,birth_date,1993-02-15,B10W1S0005,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0021,Career,C000466,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0022,Career,C000467,organization_id,ORG000166,B10W1S0001,選手カード > 出身校：筑波大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0023,Career,C000468,organization_id,ORG000180,B10W1S0005,クラブ経歴 > 「2021-22以降：FE名古屋」,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B10W1E0024,Career,C000468,start,2021,B10W1S0005,クラブ経歴 > 「2021-22：FE名古屋」が初出（前年は名古屋D、別クラブ）,B.LEAGUE公式のクラブ所属履歴で2021-22シーズンからの加入を確認,SUPPORTED,2026-09-24,前年までの「名古屋D」（名古屋ダイヤモンドドルフィンズ、ORG000054）はFE名古屋とは別法人の別クラブであり、改称等の同一性はない（詳細はissue B10W1I0007を参照）
B10W1E0025,Person,P000138,name,岩屋 頼,B10W1S0006,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0026,Person,P000138,birth_date,2003-04-20,B10W1S0006,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0027,Career,C000469,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0028,Career,C000470,organization_id,ORG000136,B10W1S0001,選手カード > 出身校：早稲田大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0029,Career,C000471,organization_id,ORG000137,B10W1S0006,クラブ経歴 > 「2025-26：秋田」が初出（唯一の記載）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B10W1E0030,Career,C000471,start,2025,B10W1S0006,クラブ経歴 > 「2025-26：秋田」が初出,B.LEAGUE公式のクラブ所属履歴で2025-26シーズンからの加入（B.LEAGUEデビュー）を確認,SUPPORTED,2026-09-24,
B10W1E0031,Person,P000139,name,森井 健太,B10W1S0007,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W1E0032,Person,P000139,birth_date,1995-09-22,B10W1S0007,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W1E0033,Career,C000472,organization_id,ORG000119,B10W1S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W1E0034,Career,C000473,organization_id,ORG000136,B10W1S0001,選手カード > 出身校：早稲田大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W1E0035,Career,C000474,organization_id,ORG000055,B10W1S0007,クラブ経歴 > 「2020-21：横浜BC」が初出（前年は新潟）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B10W1E0036,Career,C000474,start,2020,B10W1S0007,クラブ経歴 > 「2020-21：横浜BC」が初出,B.LEAGUE公式のクラブ所属履歴で2020-21シーズンからの加入を確認,SUPPORTED,2026-09-24,
B10W2E0001,Person,P000140,name,淺野 ケニー,B10W2S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B10W2E0002,Person,P000140,birth_date,2002-08-16,B10W2S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B10W2E0003,Career,C000475,organization_id,ORG000119,B10W2S0001,TagID=35（洛南高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載,SUPPORTED,2026-09-24,
B10W2E0004,Career,C000476,organization_id,ORG000018,B10W2S0001,選手カード > 出身校：専修大学,B.LEAGUE公式の出身校タグ一覧の選手カードで出身大学を確認,SUPPORTED,2026-09-24,
B10W2E0005,Career,C000477,organization_id,ORG000143,B10W2S0002,クラブ経歴 > 「2024-25：群馬」が初出（前年は三遠、その前は京都）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
