organization_id,name
ORG000010,福岡第一高等学校
ORG000015,東海大学
ORG000016,中央大学
ORG000018,専修大学
ORG000019,日本経済大学
ORG000020,日本体育大学
ORG000030,青山学院大学
ORG000031,拓殖大学
ORG000032,South Kent School
ORG000040,ライジングゼファー福岡
ORG000042,京都ハンナリーズ
ORG000043,神戸ストークス
ORG000046,アースフレンズ東京Z
ORG000047,宇都宮ブレックス
ORG000048,佐賀バルーナーズ
ORG000050,ウォルガ湘南
ORG000052,新潟アルビレックスBB
ORG000054,名古屋ダイヤモンドドルフィンズ
ORG000055,横浜ビー・コルセアーズ
ORG000067,熊本ヴォルターズ
ORG000090,横浜エクセレンス
ORG000091,愛媛オレンジバイキングス
ORG000092,レバンガ北海道
ORG000093,白鷗大学
ORG000094,九州国際大学
ORG000095,東海大学九州
ORG000096,山梨学院大学
ORG000097,三遠ネオフェニックス
ORG000098,メンフィス・グリズリーズ
ORG000100,山口パッツファイブ
ORG000101,鹿児島レブナイズ
ORG000102,東京サンレーヴス
ORG000103,茨城ロボッツ
ORG000104,三菱電機ダイヤモンドドルフィンズ
ORG000105,新潟経営大学
ORG000106,琉球ゴールデンキングス
ORG000107,琉球ゴールデンキングスU18
ORG000108,セントトーマス モア スクール
ORG000109,アルバルク東京
ORG000110,広島ドラゴンフライズ
ORG000111,東京八王子ビートレインズ
ORG000114,東京サンロッカーズ
ORG000115,立川ダイス
ORG000116,徳島ガンバロウズ
ORG000118,千葉ジェッツ
ORG000119,洛南高等学校
ORG000120,北陸高等学校
ORG000121,日本大学
ORG000122,川崎ブレイブサンダース
ORG000124,明治大学
ORG000127,福岡大学附属大濠高等学校
ORG000128,大東文化大学
ORG000130,シーホース三河
ORG000132,仙台89ERS
ORG000134,土浦日本大学高等学校
ORG000135,長崎ヴェルカ
ORG000136,早稲田大学
ORG000137,秋田ノーザンハピネッツ
ORG000142,大阪エヴェッサ
ORG000143,群馬クレインサンダーズ
ORG000144,アルティーリ千葉
ORG000147,明成高等学校
ORG000148,近畿大学
ORG000149,富山グラウジーズ
ORG000150,信州ブレイブウォリアーズ
ORG000153,滋賀レイクス
ORG000155,島根スサノオマジック
ORG000166,筑波大学
ORG000168,天理大学
ORG000171,バンビシャス奈良
ORG000173,岩手ビッグブルズ
ORG000174,しながわシティバスケットボールクラブ
ORG000180,ファイティングイーグルス名古屋
ORG000181,山形ワイヴァンズ
ORG000182,青森ワッツ
ORG000183,さいたまブロンコス
ORG000184,ステッソン大学
ORG000185,慶應義塾大学
ORG000186,サウスイースタン・オクラホマ州立大学
ORG000187,ブルーフィールド州立大学
ORG000188,京都産業大学
ORG000189,中京大学
ORG000190,越谷アルファーズ
ORG000191,ヴィアティン三重
ORG000192,開志国際高等学校
ORG000193,大阪産業大学
ORG000194,延岡学園高等学校
ORG000195,東山高等学校
ORG000196,関西学院大学
ORG000197,富山大学
ORG000198,名古屋経済大学
ORG000199,明星大学
ORG000200,福井ブローウィンズ
ORG000202,福島ファイヤーボンズ
ORG000203,国士舘大学
ORG000204,藤枝明誠高等学校
ORG000205,金沢サムライズ
ORG000206,サザンニューハンプシャー大学
ORG000207,法政大学
ORG000208,白鴎大学
ORG000209,八王子学園八王子高等学校
