verified_batch,organization_id,name
Batch 002,ORG000010,福岡第一高等学校
Batch 002,ORG000091,愛媛オレンジバイキングス
Batch 002,ORG000048,佐賀バルーナーズ
Batch 002,ORG000047,宇都宮ブレックス
Batch 002,ORG000040,ライジングゼファー福岡
Batch 002,ORG000055,横浜ビー・コルセアーズ
Batch 002,ORG000042,京都ハンナリーズ
Batch 002,ORG000092,レバンガ北海道
Batch 002,ORG000043,神戸ストークス
Batch 002,ORG000050,ウォルガ湘南
Batch 002,ORG000046,アースフレンズ東京Z
Batch 002,ORG000016,中央大学
Batch 002,ORG000030,青山学院大学
Batch 002,ORG000015,東海大学
Batch 002,ORG000032,South Kent School
Batch 002,ORG000018,専修大学
Batch 002,ORG000020,日本体育大学
Batch 002,ORG000031,拓殖大学
Batch 002,ORG000019,日本経済大学
