person_id,name,verified_batch,verified_commit,career_count,evidence_count,hold_issue_count,priority_reason
P000063,古野 拓巳,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,14,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000038,内尾 聡理,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,17,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000037,鵤 誠司,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,12,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000041,狩野 祐介,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,11,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000042,並里 成,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,10,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000039,渡辺 竜之佑,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,18,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000043,松崎 裕樹,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,19,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000035,小川 麻斗,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,16,1,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000040,神田 壮一郎,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,16,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
P000036,井手 拓実,Batch 002,9c43baefe106bd91ae7244978821f8e6e427c700,3,13,2,福岡第一を起点とするB.LEAGUE・プロ優先Career
