verified_batches,organization_id,name
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 4 (福岡大学附属大濠高等学校（学校1/11）),ORG000127,福岡大学附属大濠高等学校
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000166,筑波大学
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),ORG000132,仙台89ERS
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 13 Wave 2 (東山高等学校（学校6/11）)|Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）)|Batch 18 Wave 1 (八王子学園八王子高等学校（学校11/11）),ORG000031,拓殖大学
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）),ORG000040,ライジングゼファー福岡
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),ORG000142,大阪エヴェッサ
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）)|Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000136,早稲田大学
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）)|Batch 11 Wave 1 (開志国際高等学校（学校4/11）),ORG000150,信州ブレイブウォリアーズ
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）)|Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）)|Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),ORG000015,東海大学
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000153,滋賀レイクス
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）)|Batch 14 Wave 4 (北陸高等学校（学校7/11）)|Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）)|Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),ORG000121,日本大学
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),ORG000149,富山グラウジーズ
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),ORG000171,バンビシャス奈良
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),ORG000124,明治大学
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）)|Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 1 (洛南高等学校（学校3/11）),ORG000180,ファイティングイーグルス名古屋
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),ORG000116,徳島ガンバロウズ
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),ORG000144,アルティーリ千葉
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),ORG000092,レバンガ北海道
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000097,三遠ネオフェニックス
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),ORG000181,山形ワイヴァンズ
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000182,青森ワッツ
Batch 8 Wave 4 (福岡大学附属大濠高等学校（学校1/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）)|Batch 14 Wave 4 (北陸高等学校（学校7/11）),ORG000016,中央大学
Batch 8 Wave 4 (福岡大学附属大濠高等学校（学校1/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）),ORG000183,さいたまブロンコス
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),ORG000147,明成高等学校
