verified_batch,source_id,title,publisher,url,accessed_at
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1S0002,伊藤治輝 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=49518,2026-09-26
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1S0003,オドゲレルトルガ 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000663,2026-09-26
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1S0004,小針幸也 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000252,2026-09-26
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1S0005,喜多川修平 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=8657,2026-09-26
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2S0002,須藤昂矢 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=32956,2026-09-26
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2S0003,兪龍海 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=5100000025,2026-09-26
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2S0004,植松義也 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=5100000030,2026-09-26
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2S0005,宮本一樹 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000118,2026-09-26
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1S0002,平良彰吾 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=30459,2026-09-26
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1S0003,古牧昌也 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=12500,2026-09-26
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1S0004,野﨑由之 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000136,2026-09-26
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1S0005,赤穂雷太 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=30465,2026-09-26
