career_id,person_id,organization_id,role,start,end
C000219,P000064,ORG000010,Player,,
C000220,P000064,ORG000015,Player,,
C000221,P000064,ORG000097,Player,,
C000222,P000064,ORG000055,Player,,
C000223,P000064,ORG000098,Player,,
C000224,P000065,ORG000010,Player,,
C000225,P000065,ORG000017,Player,,
C000226,P000065,ORG000097,Player,,
C000227,P000066,ORG000010,Player,,
C000228,P000066,ORG000099,Player,,
C000229,P000066,ORG000090,Player,,
C000230,P000067,ORG000010,Player,,
C000231,P000067,ORG000100,Player,,
C000232,P000068,ORG000010,,,
C000233,P000068,ORG000018,Player,,
C000234,P000068,ORG000040,Player,,
C000235,P000068,ORG000050,Player,,
C000236,P000069,ORG000010,,,
C000237,P000069,ORG000018,Player,,
C000238,P000069,ORG000040,Player,,
C000239,P000069,ORG000100,Player,,
C000240,P000014,ORG000101,Player,,
C000241,P000014,ORG000090,Player,,
C000242,P000070,ORG000010,,,
C000243,P000070,ORG000015,,,
C000244,P000070,ORG000104,Player,,
C000245,P000070,ORG000054,Player,,
C000246,P000070,ORG000067,Player,,
C000247,P000070,ORG000052,Player,,
C000248,P000070,ORG000040,Player,,
C000249,P000070,ORG000102,Player,,
C000250,P000070,ORG000103,Player,,
C000251,P000070,ORG000103,Head Coach,,
C000252,P000070,ORG000067,Assistant Coach,,
C000253,P000071,ORG000010,,2019,2022
C000254,P000071,ORG000017,Player,2022,
C000255,P000072,ORG000010,,2019,2022
C000256,P000072,ORG000105,Player,2022,
