wave,decision_id,entity_type,entity_id,held_fields,reason
wave_01,B4W1D0001,Person,P000064,current_affiliation,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0006,Organization,ORG000017,organization_id normalization,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0009,Career,C000219,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0010,Career,C000220,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0011,Career,C000221,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0012,Career,C000222,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0013,Career,C000223,end|official_game_appearance,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0014,Career,C000224,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0015,Career,C000225,start|end|academic_end,CANDIDATEの未確認・矛盾項目として保持
wave_01,B4W1D0016,Career,C000226,end|specific_game_appearance,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0001,Person,P000066,height_cm,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0002,Person,P000067,nationality,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0007,Career,C000227,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0008,Career,C000228,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0009,Career,C000229,exact_end_date,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0010,Career,C000230,start|end,CANDIDATEの未確認・矛盾項目として保持
wave_02,B4W2D0011,Career,C000231,exact_start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0005,Career,C000232,role|start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0006,Career,C000233,end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0007,Career,C000234,exact_start|exact_end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0008,Career,C000235,2024-25|2025-26|exact_start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0009,Career,C000236,role|start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0010,Career,C000237,end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0011,Career,C000238,exact_start|exact_end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0012,Career,C000239,transfer_date|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0013,Career,C000240,exact_start|exact_end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0014,Career,C000241,exact_start|exact_end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0015,Career,C000242,role|start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0016,Career,C000243,role|start|end,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0017,Career,C000244,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0018,Career,C000245,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0019,Career,C000246,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0020,Career,C000247,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0021,Career,C000248,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0022,Career,C000249,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0023,Career,C000250,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0024,Career,C000251,exact_dates,CANDIDATEの未確認・矛盾項目として保持
wave_03,B4W3D0025,Career,C000252,end,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0001,Person,P000071,professional_contract|league_registration|professional_appearance,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0002,Person,P000072,professional_contract|league_registration|professional_appearance,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0003,Career,C000253,role,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0004,Career,C000254,end,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0005,Career,C000255,role,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0006,Career,C000256,end,CANDIDATEの未確認・矛盾項目として保持
wave_04,B4W4D0008,Organization,ORG000017,organization_id normalization,CANDIDATEの未確認・矛盾項目として保持
