career_id,person_id,organization_id,role,start,end
C000440,P000128,ORG000147,Player,,
C000441,P000128,ORG000030,Player,,
C000442,P000128,ORG000155,Player,2024,
C000443,P000129,ORG000147,Player,,
C000444,P000129,ORG000015,Player,,
C000445,P000129,ORG000181,Player,2023,
C000446,P000130,ORG000147,Player,,
C000447,P000130,ORG000184,Player,,
C000448,P000130,ORG000118,Player,2024,
C000449,P000131,ORG000147,Player,,
C000450,P000131,ORG000122,Player,2024,
C000451,P000132,ORG000147,Player,,
C000452,P000132,ORG000121,Player,,
C000453,P000132,ORG000067,Player,2025,
C000454,P000133,ORG000147,Player,,
C000455,P000133,ORG000015,Player,,
C000456,P000133,ORG000043,Player,2025,
