record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
B13W1E0001,Person,P000157,name,藤澤 尚之,B13W1S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B13W1E0002,Person,P000157,birth_date,1998-06-19,B13W1S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B13W1E0003,Career,C000525,organization_id,ORG000195,B13W1S0002,基本情報 > 出身校（高）：東山高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
B13W1E0004,Career,C000526,organization_id,ORG000168,B13W1S0002,基本情報 > 出身校（大）：天理大学,B.LEAGUE公式プロフィールで出身大学を確認,SUPPORTED,2026-09-24,
B13W1E0005,Career,C000527,organization_id,ORG000067,B13W1S0002,クラブ経歴 > 「2026-27：熊本」が最新,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,福井（2024-25・2025-26）、奈良（2022-23）、旧熊本在籍（2020-21・2021-22）、および2023-24の記載空白は今回のWaveでは対象外。詳細はissue B13W1I0003を参照
B13W1E0006,Career,C000527,start,2026,B13W1S0002,クラブ経歴 > 「2026-27：熊本」が最新,B.LEAGUE公式のクラブ所属履歴で熊本への復帰（2026-27シーズン）を確認,SUPPORTED,2026-09-24,
B13W1E0007,Person,P000158,name,瀬川 琉久,B13W1S0003,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B13W1E0008,Person,P000158,birth_date,2006-08-14,B13W1S0003,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B13W1E0009,Career,C000528,organization_id,ORG000195,B13W1S0003,基本情報 > 出身校（高）：東山高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
B13W1E0010,Career,C000529,organization_id,ORG000118,B13W1S0003,クラブ経歴 > 「2024-25：千葉J」が初出（唯一の在籍クラブ）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B13W1E0011,Career,C000529,start,2024,B13W1S0003,クラブ経歴 > 「2024-25：千葉J」が初出,B.LEAGUE公式のクラブ所属履歴で2024-25シーズンからの加入（B.LEAGUEデビュー）を確認,SUPPORTED,2026-09-24,
B13W1E0012,Person,P000159,name,堀 陽稀,B13W1S0004,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B13W1E0013,Person,P000159,birth_date,2003-05-13,B13W1S0004,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B13W1E0014,Career,C000530,organization_id,ORG000195,B13W1S0004,基本情報 > 出身校（高）：東山高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
B13W1E0015,Career,C000531,organization_id,ORG000136,B13W1S0004,基本情報 > 出身校（大）：早稲田大学,B.LEAGUE公式プロフィールで出身大学を確認,SUPPORTED,2026-09-24,
B13W1E0016,Career,C000532,organization_id,ORG000190,B13W1S0004,クラブ経歴 > 「2025-26：越谷」が初出（唯一の在籍クラブ）,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,
B13W1E0017,Career,C000532,start,2025,B13W1S0004,クラブ経歴 > 「2025-26：越谷」が初出,B.LEAGUE公式のクラブ所属履歴で2025-26シーズンからの加入（B.LEAGUEデビュー）を確認,SUPPORTED,2026-09-24,
B13W1E0018,Person,P000160,name,米須 玲音,B13W1S0005,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
B13W1E0019,Person,P000160,birth_date,2003-01-14,B13W1S0005,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
B13W1E0020,Career,C000533,organization_id,ORG000195,B13W1S0005,基本情報 > 出身校（高）：東山高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
B13W1E0021,Career,C000534,organization_id,ORG000121,B13W1S0005,基本情報 > 出身校（大）：日本大学,B.LEAGUE公式プロフィールで出身大学を確認,SUPPORTED,2026-09-24,
B13W1E0022,Career,C000535,organization_id,ORG000122,B13W1S0005,クラブ経歴 > 一貫して「川崎」、現在は「2024-25」以降継続,B.LEAGUE公式のクラブ所属履歴で現所属クラブを確認,SUPPORTED,2026-09-24,2020-21・2021-22シーズンの川崎在籍（高校在学中とみられる時期）と、2022-23・2023-24シーズンの記載空白（大学在学期間とみられる）は今回のWaveでは対象外。詳細はissue B13W1I0004を参照
B13W1E0023,Career,C000535,start,2024,B13W1S0005,クラブ経歴 > 「2024-25：川崎」が現在の連続在籍の起点,B.LEAGUE公式のクラブ所属履歴で2024-25シーズンからの現在の連続在籍開始を確認,SUPPORTED,2026-09-24,
