decision_id,entity_type,entity_id,held_fields,reason
B14W1D0002,Career,C000548,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0003,Career,C000549,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0004,Career,C000550,end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0006,Career,C000551,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0007,Career,C000552,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0008,Career,C000553,end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0010,Career,C000554,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0011,Career,C000555,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0012,Career,C000556,end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0014,Career,C000557,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0015,Career,C000558,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B14W1D0016,Career,C000559,end,READY判断内の未確認項目としてVERIFIEDから除外
