issue_id,person_id,related_id,issue_type,status,description,disposition
B23W1I0001,P000225,C000727,HIGH_SCHOOL_PERIOD,HOLD,熊谷航の前橋育英高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0002,P000225,C000728,UNIVERSITY_PERIOD,HOLD,熊谷航の大東文化大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0003,P000225,P000225,PRO_HISTORY_GAPS,HOLD,熊谷航は現所属（長崎ヴェルカ、2025-26〜）以前に秋田（2023-24〜2024-25）・信州（2021-22〜2022-23）・三河（2018-19〜2020-21）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0004,P000226,C000730,HIGH_SCHOOL_PERIOD,HOLD,久岡幸太郎の前橋育英高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0005,P000226,C000731,UNIVERSITY_PERIOD,HOLD,久岡幸太郎の中央大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0006,P000226,P000226,PRO_HISTORY_GAPS,HOLD,久岡幸太郎は現所属（茨城ロボッツ、2023-24〜）以前に広島（2023-24）・香川（2022-23）・東京Z（2018-19〜2021-22）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0007,P000227,C000733,HIGH_SCHOOL_PERIOD,HOLD,久岡賢太郎の前橋育英高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0008,P000227,C000734,UNIVERSITY_PERIOD,HOLD,久岡賢太郎の中央大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0009,P000228,C000736,HIGH_SCHOOL_PERIOD,HOLD,船生誠也の前橋育英高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0010,P000228,C000737,UNIVERSITY_PERIOD,HOLD,船生誠也の青山学院大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0011,P000228,P000228,PRO_HISTORY_GAPS,HOLD,船生誠也は現所属（仙台89ERS、2025-26〜）以前にSR渋谷（2024-25）・広島（2021-22〜2023-24）・琉球（2020-21）・富山（2018-19〜2019-20）・名古屋D（2016-17〜2017-18）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B23W1I0012,P000228,P000228,PRE_BLEAGUE_HISTORY,HOLD,船生誠也のB.LEAGUE公式クラブ所属履歴は2016-17シーズン（B.LEAGUE開幕）以降のみ掲載されている。それ以前の経歴は公式資料で未確認のため記録していない。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
