issue_id,person_id,related_id,issue_type,status,description,next_check
B7I0001,P000083,C000299,SCHOOL_HISTORY_UNCONFIRMED,HOLD,開志国際高等学校在籍がコーチ本人（父・富樫英樹氏）へのインタビュー記事等で言及されるが、B.LEAGUE公式プロフィールにはモントロス・クリスチャン高等学校のみが記載され、開志国際とのCareer上の関係（在籍順・重複）を直接示す一次資料は未確認,開志国際高等学校または本人・B.LEAGUE等の公式資料でCareer関係を確認
B7I0002,P000084,C000290,PERIOD_UNKNOWN,HOLD,洛南高等学校Careerの入学・卒業年月は未確認,学校またはインターハイ/ウインターカップ公式資料で年度を確認
B7I0003,P000084,C000291,PERIOD_UNKNOWN,HOLD,青山学院大学Careerの入学・卒業年月は未確認,大学またはインカレ公式資料で年度を確認
B7I0004,P000085,C000296,GRADUATION_YEAR_UNCONFIRMED,HOLD,北陸高等学校の卒業年は専門媒体記事の推定（2007年頃）であり、本人の卒業を直接示す一次資料は未確認,学校または当時の大会公式資料で卒業年度を確認
B7I0005,P000085,C000296,SOURCE_TIER,HOLD,北陸高等学校在籍を裏付ける一次資料（学校公式・大会公式ロスター等）が未確認、現状は専門媒体（バスケットボールキング）のみ,学校または全国大会（インターハイ・ウインターカップ）公式資料を確認
B7I0006,P000085,C000297,PERIOD_UNKNOWN,HOLD,日本大学Careerの入学・卒業年月は未確認,大学またはインカレ公式資料で年度を確認
B7I0007,P000086,C000293,SOURCE_TIER,HOLD,桐光学園高校在籍を裏付ける一次資料（学校公式・大会公式ロスター等）が未確認、現状は専門媒体（バスケットボールキング）のみ,学校または全国大会（インターハイ・ウインターカップ）公式資料を確認
B7I0008,P000086,C000293,PERIOD_UNKNOWN,HOLD,桐光学園高校Careerの入学・卒業年月は未確認（記事から2015年頃の卒業と推定されるのみ）,学校または当時の大会公式資料で卒業年度を確認
B7I0009,P000086,C000294,PERIOD_UNKNOWN,HOLD,明治大学Careerの入学・卒業年月は未確認,大学またはインカレ公式資料で年度を確認
B7I0010,ALL,ALL,CLUB_HISTORY_SCOPE,HOLD,本Waveでは各選手の現所属クラブのみをCareerとして記録し、過去の所属クラブ（例：比江島慎の三河・栃木、齋藤拓実の滋賀・アルバルク東京）は対象外とした。栃木ブレックス→宇都宮ブレックス等、名称変更・承継の可能性がある組織をどう扱うかは、Batch 004のB4W3I0011（三菱電機/名古屋ダイヤモンドドルフィンズ）と同じ未解決論点であり、本Waveでも解消していない,OrganizationAlias・組織承継ルールをYuichiと合意してから過去クラブ経歴を追加する
