organization_id,name
ORG000010,福岡第一高等学校
ORG000015,東海大学
ORG000016,中央大学
ORG000018,専修大学
ORG000019,日本経済大学
ORG000020,日本体育大学
ORG000030,青山学院大学
ORG000031,拓殖大学
ORG000032,South Kent School
ORG000040,ライジングゼファー福岡
ORG000042,京都ハンナリーズ
ORG000043,神戸ストークス
ORG000046,アースフレンズ東京Z
ORG000047,宇都宮ブレックス
ORG000048,佐賀バルーナーズ
ORG000050,ウォルガ湘南
ORG000052,新潟アルビレックスBB
ORG000054,名古屋ダイヤモンドドルフィンズ
ORG000055,横浜ビー・コルセアーズ
ORG000067,熊本ヴォルターズ
ORG000090,横浜エクセレンス
ORG000091,愛媛オレンジバイキングス
ORG000092,レバンガ北海道
ORG000093,白鷗大学
ORG000094,九州国際大学
ORG000095,東海大学九州
ORG000096,山梨学院大学
ORG000097,三遠ネオフェニックス
ORG000098,メンフィス・グリズリーズ
ORG000100,山口パッツファイブ
ORG000101,鹿児島レブナイズ
ORG000102,東京サンレーヴス
ORG000103,茨城ロボッツ
ORG000104,三菱電機ダイヤモンドドルフィンズ
ORG000105,新潟経営大学
ORG000106,琉球ゴールデンキングス
ORG000107,琉球ゴールデンキングスU18
ORG000108,セントトーマス モア スクール
ORG000109,アルバルク東京
ORG000110,広島ドラゴンフライズ
ORG000111,東京八王子ビートレインズ
ORG000114,東京サンロッカーズ
